date,weekday,hour,road_type,speed_limit,is_rush_hour,is_school_hour,traffic_level,is_weekend
2026-01-01,3,21,primary,60,0,0,2,0
2026-01-01,3,21,secondary,50,0,0,1,0
2026-01-01,3,21,residential,30,0,0,2,0
2026-01-01,3,22,motorway,100,0,0,2,0
2026-01-01,3,22,trunk,80,0,0,3,0
2026-01-01,3,22,primary,60,0,0,3,0
2026-01-01,3,22,secondary,50,0,0,2,0
2026-01-01,3,22,residential,30,0,0,1,0
2026-01-01,3,23,motorway,100,0,0,2,0
2026-01-01,3,23,trunk,80,0,0,2,0
2026-01-01,3,23,primary,60,0,0,2,0
2026-01-01,3,23,secondary,50,0,0,2,0
2026-01-01,3,23,residential,30,0,0,1,0
2026-01-02,4,0,motorway,100,0,0,1,0
2026-01-02,4,0,trunk,80,0,0,1,0
2026-01-02,4,0,primary,60,0,0,2,0
2026-01-02,4,0,secondary,50,0,0,1,0
2026-01-02,4,0,residential,30,0,0,1,0
2026-01-02,4,1,motorway,100,0,0,2,0
2026-01-02,4,1,trunk,80,0,0,1,0
2026-01-02,4,1,primary,60,0,0,1,0
2026-01-02,4,1,secondary,50,0,0,1,0
2026-01-02,4,1,residential,30,0,0,1,0
2026-01-02,4,2,motorway,100,0,0,1,0
2026-01-02,4,2,trunk,80,0,0,1,0
2026-01-02,4,2,primary,60,0,0,1,0
2026-01-02,4,2,secondary,50,0,0,1,0
2026-01-02,4,2,residential,30,0,0,1,0
2026-01-02,4,3,motorway,100,0,0,1,0
2026-01-02,4,3,trunk,80,0,0,1,0
2026-01-02,4,3,primary,60,0,0,1,0
2026-01-02,4,3,secondary,50,0,0,1,0
2026-01-02,4,3,residential,30,0,0,1,0
2026-01-02,4,4,motorway,100,0,0,1,0
2026-01-02,4,4,trunk,80,0,0,1,0
2026-01-02,4,4,primary,60,0,0,1,0
2026-01-02,4,4,secondary,50,0,0,1,0
2026-01-02,4,4,residential,30,0,0,1,0
2026-01-02,4,5,motorway,100,0,0,1,0
2026-01-02,4,5,trunk,80,0,0,1,0
2026-01-02,4,5,primary,60,0,0,2,0
2026-01-02,4,5,secondary,50,0,0,1,0
2026-01-02,4,5,residential,30,0,0,1,0
2026-01-02,4,6,motorway,100,0,0,1,0
2026-01-02,4,6,trunk,80,0,0,2,0
2026-01-02,4,6,primary,60,0,0,2,0
2026-01-02,4,6,secondary,50,0,0,2,0
2026-01-02,4,6,residential,30,0,0,1,0
2026-01-02,4,7,motorway,100,1,1,3,0
2026-01-02,4,7,trunk,80,1,1,3,0
2026-01-02,4,7,primary,60,1,1,2,0
2026-01-02,4,7,secondary,50,1,1,3,0
2026-01-02,4,7,residential,30,1,1,3,0
2026-01-02,4,8,motorway,100,1,1,3,0
2026-01-02,4,8,trunk,80,1,1,3,0
2026-01-02,4,8,primary,60,1,1,3,0
2026-01-02,4,8,secondary,50,1,1,3,0
2026-01-02,4,8,residential,30,1,1,2,0
2026-01-02,4,9,motorway,100,1,0,2,0
2026-01-02,4,9,trunk,80,1,0,3,0
2026-01-02,4,9,primary,60,1,0,3,0
2026-01-02,4,9,secondary,50,1,0,3,0
2026-01-02,4,9,residential,30,1,0,3,0
2026-01-02,4,10,motorway,100,0,0,3,0
2026-01-02,4,10,trunk,80,0,0,2,0
2026-01-02,4,10,primary,60,0,0,2,0
2026-01-02,4,10,secondary,50,0,0,1,0
2026-01-02,4,10,residential,30,0,0,1,0
2026-01-02,4,11,motorway,100,0,0,1,0
2026-01-02,4,11,trunk,80,0,0,2,0
2026-01-02,4,11,primary,60,0,0,2,0
2026-01-02,4,11,secondary,50,0,0,2,0
2026-01-02,4,11,residential,30,0,0,2,0
2026-01-02,4,12,motorway,100,0,0,1,0
2026-01-02,4,12,trunk,80,0,0,1,0
2026-01-02,4,12,primary,60,0,0,2,0
2026-01-02,4,12,secondary,50,0,0,2,0
2026-01-02,4,12,residential,30,0,0,2,0
2026-01-02,4,13,motorway,100,0,1,2,0
2026-01-02,4,13,trunk,80,0,1,2,0
2026-01-02,4,13,primary,60,0,1,1,0
2026-01-02,4,13,secondary,50,0,1,2,0
2026-01-02,4,13,residential,30,0,1,2,0
2026-01-02,4,14,motorway,100,0,1,3,0
2026-01-02,4,14,trunk,80,0,1,2,0
2026-01-02,4,14,primary,60,0,1,3,0
2026-01-02,4,14,secondary,50,0,1,3,0
2026-01-02,4,14,residential,30,0,1,3,0
2026-01-02,4,15,motorway,100,0,0,1,0
2026-01-02,4,15,trunk,80,0,0,2,0
2026-01-02,4,15,primary,60,0,0,2,0
2026-01-02,4,15,secondary,50,0,0,2,0
2026-01-02,4,15,residential,30,0,0,2,0
2026-01-02,4,16,motorway,100,1,0,3,0
2026-01-02,4,16,trunk,80,1,0,2,0
2026-01-02,4,16,primary,60,1,0,3,0
2026-01-02,4,16,secondary,50,1,0,3,0
2026-01-02,4,16,residential,30,1,0,3,0
2026-01-02,4,17,motorway,100,1,0,3,0
2026-01-02,4,17,trunk,80,1,0,3,0
2026-01-02,4,17,primary,60,1,0,2,0
2026-01-02,4,17,secondary,50,1,0,3,0
2026-01-02,4,17,residential,30,1,0,3,0
2026-01-02,4,18,motorway,100,1,0,2,0
2026-01-02,4,18,trunk,80,1,0,2,0
2026-01-02,4,18,primary,60,1,0,3,0
2026-01-02,4,18,secondary,50,1,0,3,0
2026-01-02,4,18,residential,30,1,0,3,0
2026-01-02,4,19,motorway,100,0,0,2,0
2026-01-02,4,19,trunk,80,0,0,3,0
2026-01-02,4,19,primary,60,0,0,1,0
2026-01-02,4,19,secondary,50,0,0,2,0
2026-01-02,4,19,residential,30,0,0,2,0
2026-01-02,4,20,motorway,100,0,0,1,0
2026-01-02,4,20,trunk,80,0,0,1,0
2026-01-02,4,20,primary,60,0,0,2,0
2026-01-02,4,20,secondary,50,0,0,2,0
2026-01-02,4,20,residential,30,0,0,2,0
2026-01-02,4,21,motorway,100,0,0,3,0
2026-01-02,4,21,trunk,80,0,0,1,0
2026-01-02,4,21,primary,60,0,0,1,0
2026-01-02,4,21,secondary,50,0,0,2,0
2026-01-02,4,21,residential,30,0,0,2,0
2026-01-02,4,22,motorway,100,0,0,1,0
2026-01-02,4,22,trunk,80,0,0,2,0
2026-01-02,4,22,primary,60,0,0,2,0
2026-01-02,4,22,secondary,50,0,0,3,0
2026-01-02,4,22,residential,30,0,0,2,0
2026-01-02,4,23,motorway,100,0,0,2,0
2026-01-02,4,23,trunk,80,0,0,1,0
2026-01-02,4,23,primary,60,0,0,1,0
2026-01-02,4,23,secondary,50,0,0,2,0
2026-01-02,4,23,residential,30,0,0,1,0
